nct_id,title,status,phase,study_type,conditions,lead_sponsor,start_date,completion_date,enrollment_count,sponsor_class,num_sites,fda_regulated_drug,minimum_age,maximum_age,accepts_healthy,sex,num_collaborators
NCT02566993,"Phase III Randomized Clinical Trial of Lurbinectedin (PM01183)/Doxorubicin Versus Cyclophosphamide, Doxorubicin and Vincristine (CAV) or Topotecan as Treatment in Patients With Small-Cell Lung Cancer (SCLC) Who Failed One Prior Platinum-containing Line (ATLANTIS)",COMPLETED,PHASE3,INTERVENTIONAL,Small-cell Lung Cancer,PharmaMar,2016-08-30,2020-02-24,613.0,INDUSTRY,160,,18 Years,,False,ALL,0
NCT01606748,"An Open-Label, Non-controlled, Non-randomized Sequential Design, Drug-Interaction Study of Necitumumab (IMC-11F8) in Combination With Gemcitabine-Cisplatin in Patients With Advanced Solid Cancers",COMPLETED,PHASE2,INTERVENTIONAL,Malignant Solid Tumor,Eli Lilly and Company,2012-08,2016-06,35.0,INDUSTRY,4,,18 Years,,False,ALL,0
NCT05469178,Phase 1b/2a Safety and Tolerability Study of Bemcentinib With Pembrolizumab/Carboplatin/Pemetrexed in Subjects With Untreated Advanced or Metastatic Non-squamous Non-small Cell Lung Cancer (NSCLC) Without/With a STK11 Mutation,TERMINATED,"PHASE1, PHASE2",INTERVENTIONAL,"Carcinoma, Non-Small-Cell Lung",BerGenBio ASA,2023-03-03,2025-04-03,26.0,INDUSTRY,34,True,18 Years,,False,ALL,0
NCT03753685,"Efficacy and Safety of X-396(Ensartinib) in ALK-Positive NSCLC Patients With Brain Metastases: A Phase Ⅱ, Open-Label, Single Arm, Multicenter Study",ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,"Nonsmall Cell Lung Cancer, Brain Metastases",Fudan University,2019-04-12,2026-06-30,27.0,OTHER,1,False,18 Years,,False,ALL,1
NCT04630015,Expanded Evaluation of the Survivorship Wellness Group Program in the Context of COVID-19 and Telehealth,COMPLETED,,OBSERVATIONAL,"COVID-19 Infection, Hematopoietic and Lymphoid Cell Neoplasm, Malignant Solid Neoplasm","University of California, San Francisco",2020-08-31,2023-05-01,134.0,OTHER,1,False,18 Years,,,ALL,0
NCT00253708,Body-Based Complementary Therapies for Patients With Cancer,COMPLETED,NA,INTERVENTIONAL,Cancer,Beth Israel Deaconess Medical Center,2004-12-01,2013-01-01,39.0,OTHER,1,False,18 Years,120 Years,False,ALL,1
NCT00264433,"An Open-Label Phase 2a Study in Subjects With N-Cadherin Positive, Advanced or Recurrent Solid Tumors to Investigate the Safety and Efficacy of ADH-1 Administered Intravenously as a Single Agent (Adherex Protocol Number AHX-01-201)",COMPLETED,PHASE2,INTERVENTIONAL,Neoplasms,"Adherex Technologies, Inc.",,,,INDUSTRY,11,,18 Years,,False,ALL,0
NCT03293433,Quantification of microRNAs in Diagnosis of Pulmonary Nodules: Reproducibility Analysis of Intra- and Inter-observer and Inter-laboratory: Project miR-Nod,COMPLETED,,OBSERVATIONAL,Pulmonary Cancer,"University Hospital, Toulouse",2015-11,2019-05,103.0,OTHER,2,,18 Years,,False,ALL,0
NCT04644952,The Rise in Robotic Atypical Segmentectomies: A Large Cancer Center Experience,RECRUITING,,OBSERVATIONAL,Lung Carcinoma,M.D. Anderson Cancer Center,2020-09-15,2027-04-30,600.0,OTHER,1,False,,,False,ALL,0
NCT07264816,A Phase II Clinical Study to Evaluate the Efficacy and Safety of BL-M07D1 in Combination With Pembrolizumab in Patients With Unresectable Locally Advanced or Metastatic HER2-Overexpressing Non-Squamous Non-Small Cell Lung Cancer,RECRUITING,PHASE2,INTERVENTIONAL,Non-squamous Non-small Cell Lung Cancer,"Sichuan Baili Pharmaceutical Co., Ltd.",2026-02-03,2027-12,80.0,INDUSTRY,1,False,18 Years,75 Years,False,ALL,1
